DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
BOOKKEEPER,5,77.89133942980096,IBK,BEST_FIRST,NONE,NONE,0.5714285714285714,0.2909090909090909,0.740909090909091,0.3245577288692683,16.0,12.0,344.0,39.0
BOOKKEEPER,5,77.89133942980096,IBK,BEST_FIRST,OVERSAMPLING,NONE,0.37735849056603776,0.36363636363636365,0.7382788559754851,0.27516987395611814,20.0,33.0,323.0,35.0
BOOKKEEPER,5,77.89133942980096,IBK,BEST_FIRST,UNDERSAMPLING,NONE,0.2926829268292683,0.6545454545454545,0.7198161389172625,0.26937009458643585,36.0,87.0,269.0,19.0
BOOKKEEPER,5,77.89133942980096,IBK,NONE,NONE,NONE,0.53125,0.3090909090909091,0.7493105209397344,0.3242857586003662,17.0,15.0,341.0,38.0
BOOKKEEPER,5,77.89133942980096,IBK,NONE,OVERSAMPLING,NONE,0.2898550724637681,0.36363636363636365,0.7131256384065373,0.20403928620832754,20.0,49.0,307.0,35.0
BOOKKEEPER,5,77.89133942980096,IBK,NONE,UNDERSAMPLING,NONE,0.2706766917293233,0.6545454545454545,0.7327885597548519,0.2388645869919219,36.0,97.0,259.0,19.0
BOOKKEEPER,6,81.3566739606127,IBK,GREEDY_BACKWARD_SEARCH,NONE,NONE,0.35714285714285715,0.25,0.750291450777202,0.23495959293624663,10.0,18.0,368.0,30.0
BOOKKEEPER,6,81.3566739606127,IBK,GREEDY_BACKWARD_SEARCH,OVERSAMPLING,NONE,0.20754716981132076,0.275,0.7120466321243524,0.1450619028774949,11.0,42.0,344.0,29.0
BOOKKEEPER,6,81.3566739606127,IBK,GREEDY_BACKWARD_SEARCH,UNDERSAMPLING,NONE,0.19491525423728814,0.575,0.7255181347150259,0.17550286859749778,23.0,95.0,291.0,17.0
BOOKKEEPER,6,81.3566739606127,IBK,BEST_FIRST,NONE,NONE,0.35714285714285715,0.25,0.750291450777202,0.23495959293624663,10.0,18.0,368.0,30.0
BOOKKEEPER,6,81.3566739606127,IBK,BEST_FIRST,OVERSAMPLING,NONE,0.20754716981132076,0.275,0.7120466321243524,0.1450619028774949,11.0,42.0,344.0,29.0
BOOKKEEPER,6,81.3566739606127,IBK,BEST_FIRST,UNDERSAMPLING,NONE,0.19491525423728814,0.575,0.7255181347150259,0.17550286859749778,23.0,95.0,291.0,17.0
BOOKKEEPER,6,81.3566739606127,IBK,NONE,NONE,NONE,0.4,0.3,0.7648316062176166,0.2853391684901532,12.0,18.0,368.0,28.0
BOOKKEEPER,6,81.3566739606127,IBK,NONE,OVERSAMPLING,NONE,0.2641509433962264,0.35,0.7493523316062176,0.2173101927751713,14.0,39.0,347.0,26.0
BOOKKEEPER,6,81.3566739606127,IBK,NONE,UNDERSAMPLING,NONE,0.24742268041237114,0.6,0.7556347150259067,0.25074107742776947,24.0,73.0,313.0,16.0
BOOKKEEPER,1,43.67245657568238,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,NONE,NONE,NaN,0.0,0.5,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,OVERSAMPLING,NONE,NaN,0.0,0.5,0.0,0.0,0.0,141.0,86.0
