VERSION,JAVA_CLASS,SIZE,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,LOC_DELETED,MAX_LOC_DELETED,AVG_LOC_DELETED,CHURN,MAX_CHURN,AVG_CHURN,FIXED_DEFECTS,NUMBER_OF_COMMITS,NUMBER_OF_AUTHORS,IS_BUGGY
0,src/java/main/org/apache/jute/compiler/JVector.java,106,107,106,35.666666666666664,1,1,0.3333333333333333,106,106,35.333333333333336,0,3,1,False
0,src/java/main/org/apache/jute/compiler/JavaGenerator.java,62,65,59,16.25,3,2,0.75,62,59,15.5,0,4,1,False
0,src/java/main/org/apache/jute/compiler/generated/ParseException.java,210,211,210,70.33333333333333,1,1,0.3333333333333333,210,210,70.0,0,3,1,False
0,src/java/main/org/apache/jute/compiler/generated/Rcc.java,525,550,519,137.5,25,23,6.25,525,519,131.25,0,4,1,False
0,src/java/main/org/apache/jute/compiler/generated/RccConstants.java,88,89,88,29.666666666666668,1,1,0.3333333333333333,88,88,29.333333333333332,0,3,1,False
0,src/java/main/org/apache/jute/compiler/generated/RccTokenManager.java,833,835,833,278.3333333333333,2,2,0.6666666666666666,833,833,277.6666666666667,0,3,1,False
0,src/java/main/org/apache/jute/compiler/generated/SimpleCharStream.java,457,458,457,152.66666666666666,1,1,0.3333333333333333,457,457,152.33333333333334,0,3,1,False
0,src/java/main/org/apache/jute/compiler/generated/Token.java,99,100,99,33.333333333333336,1,1,0.3333333333333333,99,99,33.0,0,3,1,False
0,src/java/main/org/apache/jute/compiler/generated/TokenMgrError.java,151,152,151,50.666666666666664,1,1,0.3333333333333333,151,151,50.333333333333336,0,3,1,False
0,src/java/main/org/apache/zookeeper/AsyncCallback.java,52,61,50,20.333333333333332,9,6,3.0,52,50,17.333333333333332,0,3,1,False
0,src/java/main/org/apache/zookeeper/ClientCnxn.java,1031,1220,858,71.76470588235294,189,41,11.117647058823529,1035,858,60.88235294117647,0,17,4,True
0,src/java/main/org/apache/zookeeper/ClientWatchManager.java,39,44,41,14.666666666666666,5,3,1.6666666666666667,45,41,15.0,0,3,2,False
0,src/java/main/org/apache/zookeeper/CreateMode.java,89,89,89,89.0,0,0,0.0,89,89,89.0,0,1,1,False
0,src/java/main/org/apache/zookeeper/KeeperException.java,336,343,334,85.75,7,6,1.75,336,334,84.0,0,4,1,True
0,src/java/main/org/apache/zookeeper/ServerAdminClient.java,312,603,264,120.6,291,264,58.2,312,262,62.4,0,5,2,False
0,src/java/main/org/apache/zookeeper/Version.java,78,87,76,29.0,9,6,3.0,78,76,26.0,0,3,1,False
0,src/java/main/org/apache/zookeeper/WatchedEvent.java,81,83,73,41.5,2,2,1.0,81,73,40.5,0,2,1,False
0,src/java/main/org/apache/zookeeper/Watcher.java,107,134,64,22.333333333333332,27,17,4.5,111,64,18.5,0,6,1,False
0,src/java/main/org/apache/zookeeper/ZooDefs.java,112,127,114,21.166666666666668,15,6,2.5,124,114,20.666666666666668,0,6,2,False
0,src/java/main/org/apache/zookeeper/ZooKeeper.java,1030,1558,1122,86.55555555555556,528,204,29.333333333333332,1440,1122,80.0,0,18,3,True
0,src/java/main/org/apache/zookeeper/ZooKeeperMain.java,232,246,228,41.0,14,4,2.3333333333333335,236,228,39.333333333333336,0,6,2,False
0,src/java/main/org/apache/zookeeper/server/ByteBufferInputStream.java,72,79,70,26.333333333333332,7,6,2.3333333333333335,72,70,24.0,0,3,1,False
0,src/java/main/org/apache/zookeeper/server/DataNode.java,125,164,94,18.22222222222222,39,20,4.333333333333333,149,94,16.555555555555557,0,9,3,True
0,src/java/main/org/apache/zookeeper/server/DataTree.java,798,865,560,61.785714285714285,67,19,4.785714285714286,806,560,57.57142857142857,0,14,3,True
0,src/java/main/org/apache/zookeeper/server/FinalRequestProcessor.java,265,305,244,33.888888888888886,40,26,4.444444444444445,267,244,29.666666666666668,0,9,4,False
0,src/java/main/org/apache/zookeeper/server/LogFormatter.java,72,84,70,21.0,12,6,3.0,72,70,18.0,0,4,2,False
0,src/java/main/org/apache/zookeeper/server/NIOServerCnxn.java,873,1767,850,160.63636363636363,894,850,81.27272727272727,873,848,79.36363636363636,0,11,4,True
0,src/java/main/org/apache/zookeeper/server/PrepRequestProcessor.java,460,509,444,42.416666666666664,49,24,4.083333333333333,466,444,38.833333333333336,0,12,4,False
0,src/java/main/org/apache/zookeeper/server/PurgeTxnLog.java,94,208,85,41.6,114,85,22.8,94,83,18.8,0,5,2,True
