DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
ZOOKEEPER,5,81.44927536231884,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,NONE,0.30434782608695654,0.6176470588235294,0.643801191362621,0.22354813046937144,21.0,48.0,110.0,13.0
ZOOKEEPER,6,83.80566801619433,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.25,0.23529411764705882,0.5453579021970234,0.09288824383163992,8.0,24.0,142.0,26.0
ZOOKEEPER,6,83.80566801619433,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,NONE,0.26666666666666666,0.23529411764705882,0.7087172218284904,0.10780669144981421,8.0,22.0,144.0,26.0
ZOOKEEPER,6,83.80566801619433,IBK,BEST_FIRST_FORWARD,SMOTE,SENSITIVE_LEARNING,0.5,0.4117647058823529,0.6637136782423813,0.3521341463414632,14.0,14.0,152.0,20.0
ZOOKEEPER,6,83.80566801619433,IBK,BEST_FIRST_FORWARD,SMOTE,NONE,0.6,0.35294117647058826,0.8073175053153792,0.3644067796610168,12.0,8.0,158.0,22.0
ZOOKEEPER,6,83.80566801619433,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.37333333333333335,0.8235294117647058,0.770198440822112,0.36526946107784425,28.0,47.0,119.0,6.0
ZOOKEEPER,6,83.80566801619433,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,NONE,0.37333333333333335,0.8235294117647058,0.7909284195605953,0.36526946107784425,28.0,47.0,119.0,6.0
ZOOKEEPER,6,83.80566801619433,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.25,0.23529411764705882,0.5453579021970234,0.09288824383163992,8.0,24.0,142.0,26.0
ZOOKEEPER,6,83.80566801619433,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,NONE,0.26666666666666666,0.23529411764705882,0.7087172218284904,0.10780669144981421,8.0,22.0,144.0,26.0
ZOOKEEPER,6,83.80566801619433,IBK,BEST_FIRST_BACKWARD,SMOTE,SENSITIVE_LEARNING,0.5,0.4117647058823529,0.6637136782423813,0.3521341463414632,14.0,14.0,152.0,20.0
ZOOKEEPER,6,83.80566801619433,IBK,BEST_FIRST_BACKWARD,SMOTE,NONE,0.6,0.35294117647058826,0.8073175053153792,0.3644067796610168,12.0,8.0,158.0,22.0
ZOOKEEPER,6,83.80566801619433,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.37333333333333335,0.8235294117647058,0.770198440822112,0.36526946107784425,28.0,47.0,119.0,6.0
ZOOKEEPER,6,83.80566801619433,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,NONE,0.37333333333333335,0.8235294117647058,0.7886250885896527,0.36526946107784425,28.0,47.0,119.0,6.0
ZOOKEEPER,7,83.72881355932203,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.1702127659574468,0.2962962962962963,0.5565988523735003,0.08553409538825377,8.0,39.0,174.0,19.0
ZOOKEEPER,7,83.72881355932203,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,NONE,0.22857142857142856,0.2962962962962963,0.6910102590853765,0.15011547344110843,8.0,27.0,186.0,19.0
ZOOKEEPER,7,83.72881355932203,IBK,BEST_FIRST_FORWARD,SMOTE,SENSITIVE_LEARNING,0.23529411764705882,0.4444444444444444,0.6306729264475743,0.18827508455467887,12.0,39.0,174.0,15.0
ZOOKEEPER,7,83.72881355932203,IBK,BEST_FIRST_FORWARD,SMOTE,NONE,0.2608695652173913,0.4444444444444444,0.7106590158233351,0.2178770949720667,12.0,34.0,179.0,15.0
ZOOKEEPER,7,83.72881355932203,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.25287356321839083,0.8148148148148148,0.7548252477829943,0.25867090283293626,22.0,65.0,148.0,5.0
