@relation ZOOKEEPER_TR9.arff
@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_DELETED numeric
@attribute AVG_LOC_DELETED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FIXED_DEFECTS numeric
@attribute NUMBER_OF_COMMITS numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'True', 'False'}
@data
132,133,132,0.3333333333333333,1,0,44.333333333333336,132,132,44.0,0,3,1,False
149,150,149,0.3333333333333333,1,0,50.0,149,149,49.666666666666664,0,3,1,False
210,211,210,0.3333333333333333,1,0,70.33333333333333,210,210,70.0,0,3,1,False
151,152,148,0.25,1,0,38.0,151,148,37.75,0,4,2,False
39,40,39,0.3333333333333333,1,0,13.333333333333334,39,39,13.0,0,3,1,False
45,46,45,0.3333333333333333,1,0,15.333333333333334,45,45,15.0,0,3,1,False
48,49,48,0.3333333333333333,1,0,16.333333333333332,48,48,16.0,0,3,1,False
33,34,33,0.3333333333333333,1,0,11.333333333333334,33,33,11.0,0,3,1,False
98,99,98,0.3333333333333333,1,0,33.0,98,98,32.666666666666664,0,3,1,False
117,118,117,0.3333333333333333,1,0,39.333333333333336,117,117,39.0,0,3,1,False
278,281,276,0.75,2,0,70.25,278,276,69.5,0,4,2,True
251,252,251,0.3333333333333333,1,0,84.0,251,251,83.66666666666667,0,3,1,False
252,253,252,0.3333333333333333,1,0,84.33333333333333,252,252,84.0,0,3,1,False
88,92,84,1.3333333333333333,3,0,30.666666666666668,88,84,29.333333333333332,0,3,1,False
83,87,79,1.0,3,0,21.75,83,79,20.75,0,4,1,False
43,44,43,0.3333333333333333,1,0,14.666666666666666,43,43,14.333333333333334,0,3,1,False
107,114,107,2.3333333333333335,7,0,38.0,107,107,35.666666666666664,0,3,1,False
35,36,35,0.3333333333333333,1,0,12.0,35,35,11.666666666666666,0,3,1,False
55,56,55,0.3333333333333333,1,0,18.666666666666668,55,55,18.333333333333332,0,3,1,False
41,42,41,0.3333333333333333,1,0,14.0,41,41,13.666666666666666,0,3,1,False
99,100,99,0.3333333333333333,1,0,33.333333333333336,99,99,33.0,0,3,1,False
75,80,73,1.25,4,0,20.0,75,73,18.75,0,4,1,False
40,41,40,0.3333333333333333,1,0,13.666666666666666,40,40,13.333333333333334,0,3,1,False
35,36,35,0.3333333333333333,1,0,12.0,35,35,11.666666666666666,0,3,1,False
39,40,39,0.3333333333333333,1,0,13.333333333333334,39,39,13.0,0,3,1,False
101,103,101,0.6666666666666666,2,0,34.333333333333336,101,101,33.666666666666664,0,3,1,False
508,512,508,1.0,2,0,128.0,508,508,127.0,0,4,1,False
47,48,47,0.3333333333333333,1,0,16.0,47,47,15.666666666666666,0,3,1,False
142,143,142,0.3333333333333333,1,0,47.666666666666664,142,142,47.333333333333336,0,3,1,False
106,107,106,0.3333333333333333,1,0,35.666666666666664,106,106,35.333333333333336,0,3,1,False
62,65,59,0.75,2,0,16.25,62,59,15.5,0,4,1,False
210,211,210,0.3333333333333333,1,0,70.33333333333333,210,210,70.0,0,3,1,False
525,550,519,6.25,23,0,137.5,525,519,131.25,0,4,1,False
88,89,88,0.3333333333333333,1,0,29.666666666666668,88,88,29.333333333333332,0,3,1,False
833,835,833,0.6666666666666666,2,0,278.3333333333333,833,833,277.6666666666667,0,3,1,False
457,458,457,0.3333333333333333,1,0,152.66666666666666,457,457,152.33333333333334,0,3,1,False
99,100,99,0.3333333333333333,1,0,33.333333333333336,99,99,33.0,0,3,1,False
151,152,151,0.3333333333333333,1,0,50.666666666666664,151,151,50.333333333333336,0,3,1,False
52,61,50,3.0,6,0,20.333333333333332,52,50,17.333333333333332,0,3,1,False
1031,1220,858,11.117647058823529,41,0,71.76470588235294,1035,858,60.88235294117647,0,17,4,True
